index,title,url,author,contain,subject,abstract
2023-10-20 Physics Cross-lists 18,How Biomimetic Morphing Dorsal Fin Affects the Swimming Performance of a  Free-swimming Tuna Robot,https://arxiv.org/abs/2310.12715,"Hongbing Huang, Zhonglu Lin, Wei Zheng, Jinhu Zhang, Wei Zhou, Yu Zhang",Cross-lists,Robotics (cs.RO); Biological Physics (physics.bio-ph),"It is well known that tuna fish in the ocean can dynamically morph their median fins to achieve optimal hydrodynamic performance, e.g. linear acceleration and maneuverability. In this study, based on the previous studies about the median fin's hydrodynamic effects focusing on tethered conditions, we continue to explore the hydrodynamic function of tuna morphing dorsal fin in free swimming conditions for better approaching real-life situations.Here, we developed a tuna-inspired robotic fish platform that can swim independently in three dimensions, equipped with a biomimetic morphing dorsal fin magnetically attached to the robotic fish. Based on the free-swimming robotic fish platform, we investigated how the erected dorsal fin affects the speed, cost of transport (COT), and robotic fish's yaw angle at different frequencies and amplitudes. The erected dorsal fin plays a positive role in improving the yaw stability of robotic fish. However, it shows little influence on the speed and COT in our test. This remains to be further investigated in the future. "
2023-10-20 Physics Cross-lists 19,Nonequilibrium Probability Currents in Optically-Driven Colloidal  Suspensions,https://arxiv.org/abs/2310.12718,"Samudrajit Thapa, Daniel Zaretzky, Ron Vatash, Grzegorz Gradziuk, Chase Broedersz, Yair Shokef, Yael Roichman",Cross-lists,Soft Condensed Matter (cond-mat.soft); Biological Physics (physics.bio-ph),"In the absence of directional motion it is often hard to recognize athermal fluctuations. Probability currents provide such a measure in terms of the rate at which they enclose area in phase space. We measure this area enclosing rate for trapped colloidal particles, where only one particle is driven. By combining experiment, theory, and simulation, we single out the effect of the different time scales in the system on the measured probability currents. In this controlled experimental setup, particles interact hydrodynamically. These interactions lead to a strong spatial dependence of the probability currents and to a local influence of athermal agitation. In a multiple-particle system, we show that even when the driving acts only on one particle, probability currents occur between other, non-driven particles. This may have significant implications for the interpretation of fluctuations in biological systems containing elastic networks in addition to a suspending fluid. "
2023-10-20 Physics Cross-lists 20,Strongly stable dual-pairing summation by parts finite difference  schemes for the vector invariant nonlinear shallow water equations -- I:  numerical scheme and validation,https://arxiv.org/abs/2310.12739,"Justin Kin Jun Hew, Kenneth Duru, Stephen Roberts, Christopher Zoppou",Cross-lists,Numerical Analysis (math.NA); Analysis of PDEs (math.AP); Atmospheric and Oceanic Physics (physics.ao-ph); Computational Physics (physics.comp-ph); Fluid Dynamics (physics.flu-dyn),"We present an energy/entropy stable and high order accurate finite difference method for solving the linear/nonlinear shallow water equations (SWE) in vector invariant form using the newly developed dual-pairing (DP) and dispersion-relation preserving (DRP) summation by parts (SBP) finite difference operators. We derive new well-posed boundary conditions for the SWE in one space dimension, formulated in terms of fluxes and applicable to linear and nonlinear problems. For nonlinear problems, entropy stability ensures the boundedness of numerical solutions, however, it does not guarantee convergence. Adequate amount of numerical dissipation is necessary to control high frequency errors which could ruin numerical simulations. Using the dual-pairing SBP framework, we derive high order accurate and nonlinear hyper-viscosity operator which dissipates entropy and enstrophy. The hyper-viscosity operator effectively tames oscillations from shocks and discontinuities, and eliminates poisonous high frequency grid-scale errors. The numerical method is most suitable for the simulations of sub-critical flows typical observed in atmospheric and geostrophic flow problems. We prove a priori error estimates for the semi-discrete approximations of both linear and nonlinear SWE. We verify convergence, accuracy and well-balanced property via the method of manufactured solutions (MMS) and canonical test problems such as the dam break, lake at rest, and a two-dimensional rotating and merging vortex problem. "
2023-10-20 Physics Cross-lists 21,The Botization of Science? Large-scale study of the presence and impact  of Twitter bots in science dissemination,https://arxiv.org/abs/2310.12741,"Wenceslao Arroyo-Machado, Enrique Herrera-Viedma, Daniel Torres-Salinas",Cross-lists,Digital Libraries (cs.DL); Social and Information Networks (cs.SI); Physics and Society (physics.soc-ph),"Twitter bots are a controversial element of the platform, and their negative impact is well known. In the field of scientific communication, they have been perceived in a more positive light, and the accounts that serve as feeds alerting about scientific publications are quite common. However, despite being aware of the presence of bots in the dissemination of science, no large-scale estimations have been made nor has it been evaluated if they can truly interfere with altmetrics. Analyzing a dataset of 3,744,231 papers published between 2017 and 2021 and their associated 51,230,936 Twitter mentions, our goal was to determine the volume of publications mentioned by bots and whether they skew altmetrics indicators. Using the BotometerLite API, we categorized Twitter accounts based on their likelihood of being bots. The results showed that 11,073 accounts (0.23% of total users) exhibited automated behavior, contributing to 4.72% of all mentions. A significant bias was observed in the activity of bots. Their presence was particularly pronounced in disciplines such as Mathematics, Physics, and Space Sciences, with some specialties even exceeding 70% of the tweets. However, these are extreme cases, and the impact of this activity on altmetrics varies by speciality, with minimal influence in Arts & Humanities and Social Sciences. This research emphasizes the importance of distinguishing between specialties and disciplines when using Twitter as an altmetric. "
2023-10-20 Physics Cross-lists 22,"Age and genetic relationships among CB, CH and CR chondrites",https://arxiv.org/abs/2310.12749,"Elias Wölfer, Gerrit Budde, Thorsten Kleine",Cross-lists,Earth and Planetary Astrophysics (astro-ph.EP); Geophysics (physics.geo-ph),"The carbonaceous Bencubbin-like (CB), high-metal (CH), and Renazzo-like (CR) chondrites are metal-rich chondrites that have been suggested to be genetically linked and are sometimes grouped together as the CR chondrite clan. Of these, the CB and CH chondrites are thought to have formed in an impact-generated vapor-melt plume from material that may be isotopically akin to CR chondrites. We report Mo, Ti, Cr, and Hf-W isotopic data for CB and CH chondrites in order to determine their formation time, to assess whether these chondrites are genetically related, and to evaluate their potential link to CR chondrites. An internal Hf-W isochron for the CH chondrite Acfer 182 yields an age of 3.8 +- 1.2 Ma after the formation of Ca-Al-rich inclusions (CAIs), which is indistinguishable from the mean Hf-W model age for CB metal of 3.8 +- 1.3 Ma. The Mo isotopic data for CB and CH chondrites indicate that both contain some of the same metal and silicate components, which themselves are isotopically distinct. As such, the different Mo isotopic compositions of bulk CB and CH chondrites reflect their distinct metal-to-silicate ratios. CR metal exhibits the same Mo isotopic composition as CB and CH metal, but CR silicates have distinct Mo and Ti isotopic compositions compared to CB and CH silicates, indicating that CB/CH chondrites may be genetically related to CR metal, but not to CR silicates. Together, the new isotopic data are consistent with formation of CB and CH chondrites in different regions of a common impact-generated vapor- melt plume and suggest that the CB and CH metal may derive from a metal-rich precursor genetically linked to CR chondrites. The Hf-W systematics of CH and CB chondrites indicate that the impact occurred at 3.8 +- 0.8 Ma after the formation of Ca-Al-rich inclusions and, hence, up to ~1 Ma earlier than previously inferred based on Pb- Pb chronology. "
2023-10-20 Physics Cross-lists 23,The Social Cost of Carbon,https://arxiv.org/abs/2310.12760,Richard S.J. Tol,Cross-lists,General Economics (econ.GN); Physics and Society (physics.soc-ph),"The social cost of carbon is the damage avoided by slightly reducing carbon dioxide emissions. It is a measure of the desired intensity of climate policy. The social cost of carbon is highly uncertain because of the long and complex cause-effect chain, and because it quantifies and aggregates impacts over a long period of time, affecting all people in a wide range of possible futures. Recent estimates are around $\$$80/tCO$_2$. "
2023-10-20 Physics Cross-lists 24,Differentiable Vertex Fitting for Jet Flavour Tagging,https://arxiv.org/abs/2310.12804,"Rachel E. C. Smith, Inês Ochoa, Rúben Inácio, Jonathan Shoemaker, Michael Kagan",Cross-lists,"High Energy Physics - Experiment (hep-ex); Machine Learning (cs.LG); High Energy Physics - Phenomenology (hep-ph); Data Analysis, Statistics and Probability (physics.data-an)","We propose a differentiable vertex fitting algorithm that can be used for secondary vertex fitting, and that can be seamlessly integrated into neural networks for jet flavour tagging. Vertex fitting is formulated as an optimization problem where gradients of the optimized solution vertex are defined through implicit differentiation and can be passed to upstream or downstream neural network components for network training. More broadly, this is an application of differentiable programming to integrate physics knowledge into neural network models in high energy physics. We demonstrate how differentiable secondary vertex fitting can be integrated into larger transformer-based models for flavour tagging and improve heavy flavour jet classification. "
2023-10-20 Physics Cross-lists 25,Uncertainty Quantification of Bandgaps in Acoustic Metamaterials with  Stochastic Geometric Defects and Material Properties,https://arxiv.org/abs/2310.12869,"Han Zhang, Rayehe Karimi Mahabadi, Cynthia Rudin, Johann Guilleminot, L. Catherine Brinson",Cross-lists,"Sound (cs.SD); Audio and Speech Processing (eess.AS); Applied Physics (physics.app-ph); Data Analysis, Statistics and Probability (physics.data-an)","This paper studies the utility of techniques within uncertainty quantification, namely spectral projection and polynomial chaos expansion, in reducing sampling needs for characterizing acoustic metamaterial dispersion band responses given stochastic material properties and geometric defects. A novel method of encoding geometric defects in an interpretable, resolution independent is showcased in the formation of input space probability distributions. Orders of magnitude sampling reductions down to $\sim10^0$ and $\sim10^1$ are achieved in the 1D and 7D input space scenarios respectively while maintaining accurate output space probability distributions through combining Monte Carlo, quadrature rule, and sparse grid sampling with surrogate model fitting. "
2023-10-20 Physics Cross-lists 26,Cavity-Induced Quantum Interference and Collective Interactions in van  der Waals Systems,https://arxiv.org/abs/2310.12881,"Jianshu Cao, Eli Pollak",Cross-lists,Quantum Physics (quant-ph); Mesoscale and Nanoscale Physics (cond-mat.mes-hall); Chemical Physics (physics.chem-ph),"The central topic of this letter is to show that light-matter hybridization not only gives rise to novel dynamic responses but can also modify intermolecular interactions and induce new structural order. Using the van der Waals (vdW) system in an optical cavity as an example, we predict the effects of interference and collectivity in cavity-induced many-body dispersion interactions. Specifically, the leading order correction due to cavity-induced quantum fluctuations leads to 3-body and 4-body vdW interactions, which can align intermolecular vectors and are not pairwise additive. In addition, the cavity-induced dipole leads to a single-molecule energy shift that aligns individual molecules, and a pair-wise interaction that scales as $R^{-3}$ instead of the standard $R^{-6}$ distance scaling. The coefficients of all these cavity-induced corrections depend on the cavity frequency and are renormalized by the effective Rabi frequency, which in turn depends on the particle density. Finally, we study the interaction of the vdW system in a cavity with an external object and find a significant enhancement in the interaction range due to modified distance scaling laws. These theoretical predictions suggest the possibility of cavity-induced nematic or smectic order and may provide an essential clue to understanding intriguing phenomena observed in optical cavities, such as strongly-modified ground-state reactivity, ion transport and solvent polarity. "
2023-10-20 Physics Cross-lists 27,Plasmon Fizeau drag in 3D Dirac and Weyl semimetals,https://arxiv.org/abs/2310.12938,"Morgan G. Blevins, Svetlana V. Boriskina",Cross-lists,Mesoscale and Nanoscale Physics (cond-mat.mes-hall); Optics (physics.optics),"There is a need for compact, dynamically tunable nonreciprocal optical elements to enable on-chip-compatible optical isolators and more efficient radiative energy transfer systems. Plasmon Fizeau drag, the drag of electrical current on propagating surface plasmon polaritons, has been proposed to induce nonreciprocal surface modes to enable one-way energy transport. However, relativistic electron drift velocities are required to induce appreciable contrast between the dispersion characteristics of co-propagating and counter-propagating surface plasmon modes. The high electron drift velocity of graphene previously allowed for the experimental demonstration of current-induced nonreciprocity in a two-dimensional (2D) Dirac material. The high electron drift and Fermi velocities in three-dimensional (3D) Dirac materials make them ideal candidates for the effect, however, both the theory of the Fizeau drag effect and its experimental demonstrations in 3D Dirac materials are missing. Here we develop a comprehensive theory of Fizeau drag in DC-biased 3D Weyl semimetals (WSM) or Dirac semimetals (DSM), both under local and non-local approximation and with dissipative losses. We predict that under practical assumptions for loss, Fizeau drag in the DSM Cd$_3$As$_2$ opens windows of pseudo-unidirectional transport. We additionally introduce new figures of merit to rank nonreciprocal plasmonic systems by their potential for directional SPP transport. Further, we propose a new approach for achieving appreciable plasmonic Fizeau drag via optically pumping bulk inversion symmetry breaking WSMs or DSMs. "
2023-10-20 Physics Cross-lists 28,Microphysics of Particle Reflection in Weibel-Mediated Shocks,https://arxiv.org/abs/2310.12950,"Jasmine Parsons, Anatoly Spitkovsky, Arno Vanthieghem",Cross-lists,High Energy Astrophysical Phenomena (astro-ph.HE); Plasma Physics (physics.plasm-ph),"Particle-in-cell (PIC) simulations have shown that relativistic collisionless shocks mediated by the Weibel instability accelerate about 1% of incoming particles, while the majority are transmitted through the shock and become thermalized. The microphysical processes that determine whether an incoming particle will be transmitted or reflected are poorly understood. We study the microphysics of particle reflection in Weibel-mediated shocks by tracking a shell of test particles in a PIC simulation of a shock in pair plasma. We find that electrons in positron-dominated filaments and positrons in electron-dominated filaments efficiently reflect off of strong magnetic structures at the shock. These reflected particles headed towards the upstream must then find filaments of the same sign of current as the current carried by the reflected particles in order to successfully move with the shock and participate in diffusive shock acceleration (DSA). The final injection efficiency on the order of about 1% thus results from the effectiveness of the initial reflection at the shock and the reflected particles' probability of survival in the upstream post-reflection. We develop a model that predicts the fraction of high-energy particles as a function of the properties of Weibel filamentation. "
2023-10-20 Physics Cross-lists 29,Cousins Of The Vendi Score: A Family Of Similarity-Based Diversity  Metrics For Science And Machine Learning,https://arxiv.org/abs/2310.12952,"Amey Pasarkar, Adji Bousso Dieng",Cross-lists,Machine Learning (cs.LG); Chemical Physics (physics.chem-ph); Populations and Evolution (q-bio.PE),"Measuring diversity accurately is important for many scientific fields, including machine learning (ML), ecology, and chemistry. The Vendi Score was introduced as a generic similarity-based diversity metric that extends the Hill number of order q=1 by leveraging ideas from quantum statistical mechanics. Contrary to many diversity metrics in ecology, the Vendi Score accounts for similarity and does not require knowledge of the prevalence of the categories in the collection to be evaluated for diversity. However, the Vendi Score treats each item in a given collection with a level of sensitivity proportional to the item's prevalence. This is undesirable in settings where there is a significant imbalance in item prevalence. In this paper, we extend the other Hill numbers using similarity to provide flexibility in allocating sensitivity to rare or common items. This leads to a family of diversity metrics -- Vendi scores with different levels of sensitivity -- that can be used in a variety of applications. We study the properties of the scores in a synthetic controlled setting where the ground truth diversity is known. We then test their utility in improving molecular simulations via Vendi Sampling. Finally, we use the Vendi scores to better understand the behavior of image generative models in terms of memorization, duplication, diversity, and sample quality. "
2023-10-20 Quantum Physics New submissions 1,On the nonclassicality distance indicator of qudits,https://arxiv.org/abs/2310.12173,"Arsen Khvedelidze, Astghik Torosyan",New submissions,Quantum Physics (quant-ph),"We consider the nonclassicality distance indicator of a state in finite-dimensional quantum systems which is evaluating a state nonclassicality by its remoteness from the set of ""classical states"". The latter are identified with those states whose Wigner function is non-negative. The corresponding Wigner function's positivity polytope in the simplex of qudit eigenvalues is introduced and the representation for the nonclassicality distance indicator as a piecewise function is derived. The results are exemplified by the qutrit case. "
2023-10-20 Quantum Physics New submissions 2,Analysis on the Derivation of the Schrödinger Equation with Analogy to  Electromagnetic Wave Equation,https://arxiv.org/abs/2310.12175,Xuefeng Bao,New submissions,Quantum Physics (quant-ph),"The Schr\""odinger equation is universally accepted due to its excellent predictions aligning with observed results within its defined conditions. Nevertheless, it does not seem to possess the simplicity of fundamental laws, such as Newton's laws of motion. Various insightful attempts have been made to elucidate the rationale behind the Schr\""odinger equation. This paper seeks to review existing explanations and propose some prospectives on the derivation of the Schr\""odinger equation. "
2023-10-20 Quantum Physics New submissions 3,Optimizing edge state transfer in a Su-Schrieffer-Heeger chain via  hybrid digital-analog strategies,https://arxiv.org/abs/2310.12179,"Sebastián V. Romero, Xi Chen, Gloria Platero, Yue Ban",New submissions,Quantum Physics (quant-ph); Mesoscale and Nanoscale Physics (cond-mat.mes-hall),"Su-Schrieffer-Heeger (SSH) chain, serving as a paradigmatic model for comprehending topological phases and their associated edge states, plays a pivotal role in advancing our understanding of quantum materials and quantum information processing and technology. In this paper, we introduce a hybrid analog-digital protocol designed for the non-adiabatic yet high-fidelity transfer of edge states in a SSH chain, featuring two sublattices A and B. The core of our approach lies in harnessing the approximate time-dependent counter-diabatic (CD) interaction, derived from adiabatic gauge potentials. However, to enhance transfer fidelity, particularly in long-distance chains, higher-order nested commutators become crucial. To simplify experimental implementation and navigate computational complexities, we identify the next-to-nearest-neighbour (NNN) hopping terms between sublattice A as dominant CD drivings, and further optimize them by using variational quantum circuits. Through digital quantum simulation, our protocol showcases the capability to achieve rapid and robust solutions, even in the presence of disorder. This analog-digital transfer protocol, an extension of quantum control methodology, establishes a robust framework for edge state transfer. Importantly, the optimal CD drivings identified can be seamlessly implemented across various quantum registers, highlighting the versatility of our approach. "
2023-10-20 Quantum Physics New submissions 4,Quantum teleportation implies symmetry-protected topological order,https://arxiv.org/abs/2310.12227,"Yifan Hong, David T. Stephen, Aaron J. Friedman",New submissions,Quantum Physics (quant-ph); Strongly Correlated Electrons (cond-mat.str-el); Mathematical Physics (math-ph),"We constrain a broad class of teleportation protocols using insights from locality. In the ""standard"" teleportation protocols we consider, all outcome-dependent unitaries are Pauli operators conditioned on linear functions of the measurement outcomes. We find that all such protocols involve preparing a ""resource state"" exhibiting symmetry-protected topological (SPT) order with Abelian protecting symmetry $\mathcal{G}_{k}= (\mathbb{Z}_2 \times \mathbb{Z}_2)^k$. The $k$ logical states are teleported between the edges of the chain by measuring the corresponding $2k$ string order parameters in the bulk and applying outcome-dependent Paulis. Hence, this single class of nontrivial SPT states is both necessary and sufficient for the standard teleportation of $k$ qubits. We illustrate this result with several examples, including a nonstabilizer hypergraph state. "
2023-10-20 Quantum Physics New submissions 5,Some improvements to product formula circuits for Hamiltonian simulation,https://arxiv.org/abs/2310.12256,"Andre Kornell, Peter Selinger",New submissions,Quantum Physics (quant-ph); Emerging Technologies (cs.ET),"We provide three improvements to the standard implementation of the ground state energy estimation algorithm via Trotter-Suzuki decomposition. These consist of smaller circuit templates for each Hamiltonian term, parallelization of commuting controlled rotations, and more efficient scheduling. These improvements may be regarded separately, and we anticipate that they may be combined with other improvements to the standard implementation. Note that we are not proposing a new algorithm for ground state energy estimation, nor are we claiming that the Trotter-Suzuki product formula family of algorithms is the optimal choice for this problem. Rather, we are demonstrating the use of circuit optimization techniques to give a very efficient implementation of this particular algorithm. "
2023-10-20 Quantum Physics New submissions 7,Conditions for the existence of positive operator valued measures,https://arxiv.org/abs/2310.12302,"Maximilian Schumacher, Gernot Alber",New submissions,Quantum Physics (quant-ph),"Sufficient and necessary conditions are presented for the existence of $(N,M)$-positive operator valued measures ($(N,M)$-POVMs) valid for arbitrary-dimensional quantum systems. A sufficient condition for the existence of $(N,M)$-POVMs is presented. It yields a simple relation determining an upper bound on the continuous parameter of an arbitrary $(N,M)$-POVM, below which all its POVM elements are guaranteed to be positive semidefinite. Necessary conditions are derived for the existence of optimal $(N,M)$-POVMs. One of these necessary conditions exhibits a close connection between the existence of optimal informationally complete $(N,M)$-POVMs and the existence of isospectral, traceless, orthonormal, hermitian operator bases in cases, in which the parameter $M$ exceeds the dimension of the quantum system under consideration. Another necessary condition is derived for optimal $(N,M)$-POVMs, whose parameter $M$ is less than the dimension of the quantum system. It is shown that in these latter cases all POVM elements necessarily are projection operators of equal rank. This significantly constrains the possible parameters for constructing optimal $(N,M)$-POVMs. For the special case of $M=2$ a necessary and sufficient condition for the existence of optimal $(N,2)$-POVMs is presented. "
2023-10-20 Quantum Physics New submissions 8,Tight upper bound of genuine four party Svetlichny type nonlocality with  and without local filtering,https://arxiv.org/abs/2310.12311,"Sk Sahadat Hossain, Biswajit Paul, Indrani Chattopadhyay, Debasis Sarkar",New submissions,Quantum Physics (quant-ph),"Identifying the nonlocality of a multiparty quantum state is an important task in quantum mechanics. Seevinck and Svetlichny [Phys. Rev. Lett. 89, 060401 (2002)], and independently, Collins and co-workers [Phys. Rev. Lett. 88, 170405 (2002)] have generalized the tripartite notion of Svetlichny nonlocality to n-parties. Here we have developed a tight upper bound for genuine four party Svetlichny type nonlocality. The constraints on the quantum states for the tightness of the bound are also presented. The method enables us to provide necessary and sufficient conditions for violating the four qubit Svetlichny type inequality for several quantum states. The relations between the genuine multipartite entanglement and the maximal quantum value of the Seevinck and Svetlichny operators for pure four qubit states are also discussed. Consequently, we have exhibited genuine four qubit hidden nonlocality under local filtering. Our result provides an effective and operational method for further study of multipartite quantum nonlocality. "
2023-10-20 Quantum Physics New submissions 9,NuQKD: A Modular Quantum Key Distribution Simulation Framework for  Engineering Applications,https://arxiv.org/abs/2310.12351,"Konstantinos Gkouliaras, Vasileios Theos, Phil Evans, Stylianos Chatzidakis",New submissions,Quantum Physics (quant-ph); Cryptography and Security (cs.CR),"An experimental Quantum Key Distribution (QKD) implementation requires advanced costly hardware, unavailable in most research environments, making protocol testing and performance evaluation complicated. Historically, this has been a major motivation for the development of QKD simulation frameworks, to allow researchers to obtain insight before proceeding into practical implementations. Several simulators have been introduced over the recent years. However, only four are publicly available, only one of which models equipment imperfections. Currently, no open-source simulator includes all following capabilities: channel attenuation modelling, equipment imperfections and effect on key rates, estimation of elapsed time during quantum channel processes, use of truly random binary sequences for qubits and measurement bases, shared-bit fraction customization. In this paper, we present NuQKD, an open-source modular, intuitive simulator, featuring all the above capabilities. NuQKD establishes communication between two computer terminals, accepts custom inputs (iterations, raw key size, interception rate etc.) and evaluates the sifted key length, Quantum Bit Error Rate (QBER), elapsed communication time and more). NuQKD capabilities include optical fiber and free-space simulation, modeling of equipment/channel imperfections, bitstrings from True Random Number Generator, modular design and automated evaluation of performance metrics. We expect NuQKD to enable convenient and accurate representation of actual experimental conditions. "
2023-10-20 Quantum Physics New submissions 10,Van der Waals chain: a simple model for Casimir forces in dielectrics,https://arxiv.org/abs/2310.12356,"H. Horner, L. M. Rachbauer, S. Rotter, U. Leonhardt",New submissions,Quantum Physics (quant-ph),"The Casimir force between dielectric bodies is well-understood, but not the Casimir force inside a dielectric, in particular its renormalization. We develop and analyse a simple model for the Casimir forces inside a medium that is completely free of renormalization and show then how renormalization emerges. We consider a one-dimensional chain of point particles interacting with each other by scattering the zero-point fluctuations of the electromagnetic field confined to one dimension. We develop a fast, efficient algorithm for calculating the forces on each particle and apply it to study the macroscopic limit of infinitely many, infinitely weak scatterers. The force density converges for piece-wise homogeneous media, but diverges in inhomogeneous media, which would cause instant collapse in theory. We argue that short-range counter forces in the medium prevent this collapse in reality. Their effect appears as the renormalization of the Casimir stress in dielectrics. Our simple model also allows us to derive an elementary analogue of the trace anomaly of quantum fields in curved space. "
2023-10-20 Quantum Physics New submissions 12,Estimation of mutual information via quantum kernel method,https://arxiv.org/abs/2310.12396,"Yota Maeda, Hideaki Kawaguchi, Hiroyuki Tezuka",New submissions,Quantum Physics (quant-ph),"Recently, the importance of analysing data and collecting valuable insight efficiently has been increasing in various fields. Estimating mutual information (MI) plays a critical role to investigate the relationship among multiple random variables with a nonlinear correlation. Particularly, the task to determine whether they are independent or not is called the independence test, whose core subroutine is estimating MI from given data. It is a fundamental tool in statistics and data analysis that can be applied in a wide range of application such as hypothesis testing, causal discovery and more. In this paper, we propose a method for estimating mutual information using the quantum kernel. We investigate the performance under various problem settings, such as different sample size or the shape of the probability distribution. As a result, the quantum kernel method showed higher performance than the classical one under the situation that the number of samples is small, the variance is large or the variables posses highly non-linear relationships. We discuss this behavior in terms of the central limit theorem and the structure of the corresponding quantum reproducing kernel Hilbert space. "
2023-10-20 Quantum Physics New submissions 13,Supersensitive sensing of quantum reservoirs via breaking antisymmetric  coupling,https://arxiv.org/abs/2310.12445,"Ji-Bing Yuan, Zhi-Min Tang, Ya-Ju Song, Shi-Qing Tang, Zhao-Hui Peng, Xin-Wen Wang, Le-Man Kuang",New submissions,Quantum Physics (quant-ph),"We investigate the utilization of a single generalized dephasing qubit for sensing a quantum reservoir, where the antisymmetric coupling between the qubit and its reservoir is broken. It is found that in addition to the decay factor encoding channel, the antisymmetric coupling breaking gives rise to another phase factor encoding channel. We introduce an optimal measurement for the generalized dephasing qubit which enables the practical measurement precision to reach the theoretical ultimate precision quantified by the quantum signal-to-noise ratio (QSNR). As an example, the generalized dephasing qubit is employed to estimate the $s$-wave scattering length of an atomic Bose-Einstein condensate. It is found that the phase-induced QSNR caused by the antisymmetric coupling breaking is at least two orders of magnitude higher than the decay-induced QSNR at the millisecond timescale and the optimal relative error can achieve a scaling $\propto 1/t$ with $t$ being the encoding time in long-term encoding. Our work opens a way for supersensitive sensing of quantum reservoirs. "
2023-10-20 Quantum Physics New submissions 14,Quantum computer error structure probed by quantum error correction  syndrome measurements,https://arxiv.org/abs/2310.12448,"Spiro Gicev, Lloyd C.L. Hollenberg, Muhammad Usman",New submissions,Quantum Physics (quant-ph),"With quantum devices rapidly approaching qualities and scales needed for fault tolerance, the validity of simplified error models underpinning the study of quantum error correction needs to be experimentally evaluated. In this work, we have directly assessed the performance of superconducting devices implementing heavy-hexagon code syndrome measurements with increasing circuit sizes up to 23 qubits, against the error assumptions underpinning code threshold calculations. Data from 16 repeated syndrome measurement cycles was found to be inconsistent with a uniform depolarizing noise model, favouring instead biased and inhomogeneous noise models. Spatial-temporal correlations investigated via $Z$ stabilizer measurements revealed significant temporal correlation in detection events. These results highlight the non-trivial structure which may be present in the noise of quantum error correction circuits and support the development of noise-tailored codes and decoders to adapt. "
2023-10-20 Quantum Physics New submissions 17,Creation of color centers in diamond by recoil implantation through  dielectric films,https://arxiv.org/abs/2310.12484,"Yuyang Han, Christian Pederson, Bethany E. Matthews, Nicholas S. Yama, Maxwell F. Parsons, Kai-Mei C. Fu",New submissions,Quantum Physics (quant-ph),"The need of near-surface color centers in diamond for quantum technologies motivates the controlled doping of specific extrinsic impurities into the crystal lattice. Recent experiments have shown that this can be achieved by momentum transfer from a surface precursor via ion irradiation, an approach known as ``recoil implantation.'' Here, we extend this technique to incorporate dielectric precursors for creating nitrogen-vacancy (NV) and silicon-vacancy (SiV) centers in diamond. Specifically, we demonstrate that gallium focused-ion-beam exposure to a thin layer of silicon nitride or silicon dioxide on the diamond surface results in the introduction of both extrinsic impurities and carbon vacancies. These defects subsequently give rise to near-surface NV and SiV centers with desirable optical properties after annealing. "
2023-10-20 Quantum Physics New submissions 18,Continuous variable quantum computation of the $O(3)$ model in 1+1  dimensions,https://arxiv.org/abs/2310.12512,"Raghav G. Jha, Felix Ringer, George Siopsis, Shane Thompson",New submissions,Quantum Physics (quant-ph); High Energy Physics - Lattice (hep-lat),"We formulate the $O(3)$ non-linear sigma model in 1+1 dimensions as a limit of a three-component scalar field theory restricted to the unit sphere in the large squeezing limit. This allows us to describe the model in terms of the continuous variable (CV) approach to quantum computing. We construct the ground state and excited states using the coupled-cluster Ansatz and find excellent agreement with the exact diagonalization results for a small number of lattice sites. We then present the simulation protocol for the time evolution of the model using CV gates and obtain numerical results using a photonic quantum simulator. We expect that the methods developed in this work will be useful for exploring interesting dynamics for a wide class of sigma models and gauge theories, as well as for simulating scattering events on quantum hardware in the coming decades. "
2023-10-20 Quantum Physics New submissions 19,Quantum Private Function Evaluation,https://arxiv.org/abs/2310.12533,Zhu Cao,New submissions,Quantum Physics (quant-ph); Cryptography and Security (cs.CR),"Private function evaluation is a task that aims to obtain the output of a function while keeping the function secret. So far its quantum analogue has not yet been articulated. In this study, we initiate the study of quantum private function evaluation, the quantum analogue of classical private function evaluation. We give a formal definition of quantum private function evaluation and present two schemes together with their security proofs. We then give an experimental demonstration of the scheme. Finally we apply quantum private function evaluation to quantum copy protection to illustrate its usage. "
2023-10-20 Quantum Physics New submissions 20,Fixing detailed balance in ancilla-based dissipative state engineering,https://arxiv.org/abs/2310.12539,"Neill Lambert, Mauro Cirio, Jhen-dong Lin, Paul Menczel, Pengfei Liang, Franco Nori",New submissions,Quantum Physics (quant-ph),"Dissipative state engineering is a general term for a protocol which prepares the ground state of a complex many-body Hamiltonian using engineered dissipation or engineered environments. Recently, it was shown that a version of this protocol, where the engineered environment consists of one or more dissipative qubit ancillas tuned to be resonant with the low-energy transitions of a many-body system, resulted in the combined system evolving to reasonable approximation to the ground state. This potentially broadens the applicability of the method beyond non-frustrated systems, to which it was previously restricted. Here we argue that this approach has an intrinsic limitation because the ancillas, seen as an effective bath by the system in the weak-coupling limit, do not give the detailed balance expected for a true zero-temperature environment. Our argument is based on the study of a similar approach employing linear coupling to bosonic ancillas. We explore overcoming this limitation using a recently developed technique from open-quantum-systems called pseudomodes. With a simple example model of a 1D quantum Ising chain, we show that detailed balance can be fixed, and a more accurate estimation of the ground state obtained, at the cost of two additional unphysical dissipative modes and the extrapolation error of implementing those modes in physical systems. "
